"Format","MoTeC CSV File",,,"Workbook","Aero Platform"
"Venue","fuji gp",,,"Worksheet","Aero Map"
"Vehicle","acuransxevo22gt3",,,"Vehicle Desc","acuransxevo22gt3"
"Driver","Chris Thompson21",,,"Engine ID",""
"Device","ADL"
"Comment","Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto",,,"Session","Race"
"Log Date","7/4/2025",,,"Origin Time","0.000","s"
"Log Time","12:12:47 AM",,,"Start Time","0.000","s"
"Sample Rate","50.000","Hz",,"End Time","2263.900","s"
"Duration","2263.900","s",,"Start Distance","0","ft"
"Range","Lap 9 (selection)",,,"End Distance","289191","ft"
"Beacon Markers","197.713 316.399 423.724 526.278 628.438 730.721 838.954 940.989 1043.496 1144.610 1247.110 1359.308 1518.971 1622.668 1725.041 1827.451 1929.042 2044.844 2147.252 2248.998 "


"Time","Rake Angle","Aero Map Proxy"
"s","deg",""


"13.720","0.27","-0.00"
"13.740","0.27","-0.00"
"13.760","0.27","-0.00"
"13.780","0.27","-0.00"
"13.800","0.27","-0.00"
"13.820","0.27","-0.00"
"13.840","0.27","-0.00"
"13.860","0.27","-0.00"
"13.880","0.27","-0.00"
"13.900","0.27","-0.00"
"13.920","0.27","-0.00"
"13.940","0.27","-0.00"
"13.960","0.27","-0.00"
"13.980","0.27","-0.00"
"14.000","0.27","-0.00"
"14.020","0.27","-0.00"
"14.040","0.27","-0.00"
"14.060","0.27","-0.00"
"14.080","0.27","-0.00"
"14.100","0.27","-0.00"
"14.120","0.27","-0.00"
"14.140","0.27","-0.00"
"14.160","0.27","-0.00"
"14.180","0.27","-0.00"
"14.200","0.27","-0.00"
"14.220","0.27","-0.00"
"14.240","0.27","-0.00"
"14.260","0.27","-0.00"
"14.280","0.27","-0.00"
"14.300","0.27","-0.00"
"14.320","0.27","-0.00"
"14.340","0.27","-0.00"
"14.360","0.27","-0.00"
"14.380","0.27","-0.00"
"14.400","0.27","-0.00"
"14.420","0.27","-0.00"
"14.440","0.27","-0.00"
"14.460","0.27","-0.00"
"14.480","0.27","-0.00"
"14.500","0.27","-0.00"
"14.520","0.27","-0.00"
"14.540","0.27","-0.00"
"14.560","0.27","-0.00"
"14.580","0.27","-0.00"
"14.600","0.27","-0.00"
"14.620","0.27","-0.00"
"14.640","0.27","-0.00"
"14.660","0.27","-0.00"
"14.680","0.27","-0.00"
"14.700","0.27","-0.00"
"14.720","0.27","-0.00"
"14.740","0.27","-0.00"
"14.760","0.27","-0.00"
"14.780","0.27","-0.00"
"14.800","0.27","-0.00"
"14.820","0.27","-0.00"
"14.840","0.27","-0.00"
"14.860","0.27","-0.00"
"14.880","0.27","-0.00"
"14.900","0.27","-0.00"
"14.920","0.27","-0.00"
"14.940","0.27","-0.00"
"14.960","0.27","-0.00"
"14.980","0.27","-0.00"
"15.000","0.27","-0.00"
"15.020","0.27","-0.00"
"15.040","0.27","-0.00"
"15.060","0.27","-0.00"
"15.080","0.27","-0.00"
"15.100","0.27","-0.00"
"15.120","0.27","-0.00"
"15.140","0.27","-0.00"
"15.160","0.27","-0.00"
"15.180","0.27","-0.00"
"15.200","0.27","-0.00"
"15.220","0.27","-0.00"
"15.240","0.27","-0.00"
"15.260","0.27","-0.00"
"15.280","0.27","-0.00"
"15.300","0.27","-0.00"
"15.320","0.27","-0.00"
"15.340","0.27","-0.00"
"15.360","0.27","-0.00"
"15.380","0.27","-0.00"
"15.400","0.27","-0.00"
"15.420","0.27","-0.00"
"15.440","0.27","-0.00"
"15.460","0.27","-0.00"
"15.480","0.27","-0.00"
"15.500","0.27","-0.00"
"15.520","0.27","-0.00"
"15.540","0.27","-0.00"
"15.560","0.27","-0.00"
"15.580","0.27","-0.00"
"15.600","0.27","-0.00"
"15.620","0.27","-0.00"
"15.640","0.27","-0.00"
"15.660","0.27","-0.00"
"15.680","0.27","-0.00"
"15.700","0.27","-0.00"
"15.720","0.27","-0.00"
"15.740","0.27","-0.00"
"15.760","0.27","-0.00"
"15.780","0.27","-0.00"
"15.800","0.27","-0.00"
"15.820","0.27","-0.00"
"15.840","0.27","-0.00"
"15.860","0.27","-0.00"
"15.880","0.27","-0.00"
"15.900","0.27","-0.00"
"15.920","0.27","-0.00"
"15.940","0.27","-0.00"
"15.960","0.27","-0.00"
"15.980","0.27","-0.00"
"16.000","0.27","-0.00"
"16.020","0.27","-0.00"
"16.040","0.27","-0.00"
"16.060","0.27","-0.00"
"16.080","0.27","-0.00"
"16.100","0.27","-0.00"
"16.120","0.27","-0.00"
"16.140","0.27","-0.00"
"16.160","0.27","-0.00"
"16.180","0.27","-0.00"
